Razão Social,Fantasia,C.N.P.J.,I.E.,Endereço,Complemento,Número,Bairro,Cidade,CEP,UF
TOMASI LOGISTICA LTDA,TOMASI LOGISTICA LTDA,03.279.710/0005-14,106486039,AVENIDA CELSO MAEDA,SALA 25,1525,SETOR SANTA RITA,ITUMBIARA,75515-255,GO
TOCANTINS**** USAR 5134,TOCANTINS TRANSPORTES,07.784.847/0001-53,293926115,RUA ERICO VERISSIMO,,57,JARDIM FILADELFIA,ARAGUAINA,77813-190,TO
TNT MERCURIO CARGAS ENCOMENDAS EXPRESSAS LTDA,TNT MERCURIO CARGAS ENCOMENDAS EXPRESSAS LTDA,95.591.723/0063-11,671211997119,RODOVIA ANHANGUERA,,.,JARDIM SAO JUDAS TADEU (NOVA VENEZA,SUMARE,13180-480,SP
TNT MERCURIO CARGAS E ENCOMENDAS EXPRESSAS S/A,TNT MERCURIO CARGAS ENCOMENDAS EXPRESSO,95.591.723/0038-00,108254280116,AV MARGINAL DIREITA DO TIETE,,2500,VILA DOS REMEDIOS,SAO PAULO,05118-100,SP
TNT MERCURIO CARGAS E ENCOMENDAS EXPRESSAS LTDA,FEDEX,95.591.723/0087-99,637.120.830.110,ROD WASHINGTON LUIZ,DESMEMBRAMENTO GLEBA A KM 229660 MTS LOTE Q,S/N,CEAT,SAO CARLOS,13571-510,SP
TNT MERCURIO CARGAS E ENCOMENDAS EXPRESS,TNT MERCURIO CARGAS E ENCOMENDAS EXPRESS,95.591.723/0002-08,0962072311,AVENIDA SERTORIO,,6500,SAO SEBASTIAO,PORTO ALEGRE,91050-900,RS
TNT MERCURIO CARGAS E ENCOMENDAS ESPRESSAS S/A,TNT MERCURIO CARGAS E ENCOMENDAS ESPRESSAS S/A,95.591.723/0012-71,0290179548,AVENIDA RUBEM BENTO ALVES,,6411,MARECHAL FLORIANO,CAXIAS DO SUL,95032-440,RS
TMM TRANSP. MATE MORIA,TMM TRANSP. MATE MORIA,08.587.337/0002-30,148126974114,RUA ARMANDO RODRIGUES ,,115,JD ANDARAI,SAO PAULO,02166-070,SP
TML LOGISTICA EIRELI,TML LOGISTICA EIRELI,10.895.417/0003-85,796.632.506.118,RUA DA AVIACAO,,350,VILA SAO RAFAEL,GUARULHOS,07053-140,SP
TMA TRANSPORTES LTDA,RODOEXPRESS,26.032.191/0001-67,141.185.380.115,RUA DOMINGOS PACHECO,QUADRA 04 - TERMINAL DE CARGAS FERNÃO DIAS. ,BOX 1,JARDIM SABRINA,SAO PAULO,02162-020,SP
TMA TRANSPORTE LTDA,TMA TRANSPORTE LTDA,26.032.191/0002-48,181267848117,AVENID ITAPOLIS,,.,.,ARARAQUARA,00000-000,SP
TLC EXPRESS,TLC EXPRESS,37.738.946/0002-40,127.190.655.112,RUA SISA,,187,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07221-030,SP
TLA TRANSPORTES DE CARGAS LTDA (EXPRESSO LEO),TLA TRANSPORTES DE CARGAS LTDA (EXPRESSO LEO),11.538.487/0002-68,127.456.326.110,RUA MONTES CLAROS,GALPAO3,446,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07223-110,SP
TJOR TRANSPORTES E LOGISTICAS,TJOR TRANSPORTES E LOGISTICAS,21.340.293/0006-30,144.904.519.115,RUA NOSSA SENHORA OPERARIA,,485,VILA GUILHERME,SAO PAULO,02060-010,SP
TJ4 TRANSPORTES LTDA,TJ4 TRANSPORTES LTDA,01.489.122/0001-56,86.399.393,RUA ANTONIO MARIO AZEVEDO,,1988,CORREGO D'ANTAS,NOVA FRIBURGO,28630-310,RJ
TJ4 TRANSPORTES LTDA,FRILOG,01.489.122/0011-28,130600293115,AVENIDA TENENTE JOSE JERONIMO DE MESQUITA,,619,PARQUE NOVO MUNDO,SAO PAULO,02146-000,SP
TIO CARLO TRANSPORTES E COMERCIO LTDA,TIO CARLO TRANSPORTES E COMERCIO LTDA,90.147.539/0001-60,2240012174,ROD BR 116,KM 112,1640,INDUSTRIAL,SAO MARCOS,95190-000,RS
TINTAS RS -BERGAMIN COM DE TINTAS LTDA,TINTAS RS -BERGAMIN COM DE TINTAS LTDA,08.766.207/0001-83,181338080115,"AV MARIA A CAMARGO DE OLIVEIRA, 2979",,.,VILA FERROVIARIA,ARARAQUARA,14802-000,SP
TIAGO TRANSPORTES EXPRESS LTDA,TIAGO TRANSPORTES EXPRESS LTDA,43.347.999/0001-52,181507885115,AVENIDA MIGUEL BUCALEM,LOTE  GB/B,340,PARQUE RESIDENCIAL IGUATEMI,ARARAQUARA,14808-264,SP
THS TRANSPORTES E LOGISTICA LTDA-EPP,TECNOLOGO,60.541.240/0001-25,113551215114,RUA SOLDADO FRANCISCO TAMBORIM,,320,PQ NOVO MUNDO,SAO PAULO,02176-070,SP
THIAGO GREGORIO SANCHES,THIAGO GREGORIO SANCHES,,,RUA ARCIDIO ROMANI,,3101,PARK RESIDENCIAL COLINAS,VOTUPORANGA,15503-362,SP
TGM TRANSPORTE E LOGOSTICA   LTDA,TGM TRANSPORTE E LOGOSTICA LTDA,13.689.876/0001-39,336584803112,RUA MARINOPOLIS,,648,JD PRESIDENTE DUTRA,GUARULHOS,07172-100,SP
TGALLOG TRANSP E LOGOSTICA LTDA ME ,TGALLOG TRANSP E LOGOSTICA LTDA ME ,04.994.574/0005-07,0290529085,RUA VIRGINIA DANELUZ,,247,MARECHAL FLORIANO,CAXIAS DO SUL,95013-532,RS
TGA TRANSPORTES GRALHA AZUL DO,TGA TRANSPORTES GRALHA AZUL DO,82.077.785/0006-70,0290598400,RUA VIRGINIA ZORZI RECH,,247,SÃO CIRO,CAXIAS DO SUL,95057-235,RS
TEX TRANSPORTE DE ENCOMENDAS EXPRESSAS LTDA.,TEX TRANSPORTE DE ENCOMENDAS EXPRESSAS LTDA.,06.367.990/0049-21,145.770.010.113,RODOVIA FERNAO DIAS,SALA 01,"KM 89,7",VILA SAO RAFAEL,GUARULHOS,07053-171,SP
TEX COURIER S.A,TEX COURIER S.A,73.939.449/0001-93,ISENTO,AVENIDA PIRACEMA,,155,TAMBORE,BARUERI,06460-030,SP
TEX COURIER S.A,TEX COURIER S.A,73.939.449/0032-90,260194271,RUA JOSE GALL,,1530,RESSACADA,ITAJAI,88307-102,SC
TERMACO TERM. MARI. DE CON.E SERV E AC,TERMACO,11.552.312/0007-10,336.686.100.114,RUA LANDRI SALES,CONDOMINIO GLT GALPAO 6,1070,CIDADE ARACILIA,GUARULHOS,07250-130,SP
TEMPO REAL TRANSPORTES & LOGISTICA EIRELI - EPP,TEMPO REAL,17.615.252/0002-09,796165703118,RUA MONICA APARECIDA MOREDO,,333,JARDIM FATIMA,GUARULHOS,07177-220,SP
TEKNOLOGICA DISTRIBUIDORA LOGISTIC'S CARGO EXPRESS LTDA - EPP,TEKNOLOGICA DIST. LOGISTIC'S CARGO EXPRE,07.251.617/0001-29,147.927.705.118,RUA FRITZ JANK,,300,PARQUE NOVO MUNDO,SAO PAULO,02181-120,SP
TEHIAR SISTEMAS DE TRANSPORTES E LOJISTICA LTDA - EPP,TEHIAR,04.607.157/0001-30,116.224.163.114,RUA SOLDADO JOSE VIVANCO SOLANO,,1,PARQUE NOVO MUNDO,SAO PAULO,02144-040,SP
TECNOLOG T.H.S. TRANSPORTE E LOGISTICA LTDA - EPP,TECNOLOG - 5627-1000,07.890.229/0001-98,149.915.661.113,R. SOLDADO FRANCISO TAMBORIN,CONJ 1,320,PQ VILA MARIA,SAO PAULO,02176-070,SP
TECNOBRISA COMERCIO INDUSTRIA IMPORTACAO E EXPORTACAO LTDA,TECNOBRISA,33.889.236/0001-80,188.120.197.110,ESTRADA ADILIA BARBOSA NEVES - DE 2616/2617 AO FIM,GALPAOB ACESSO LATERAL,4850,PORTAO ,ARUJA,07413-000,SP
TECNO EXPRESS TRANSPORTES LTDA,TECNO EXPRESS TRANSPORTES LTDA,49.296.690/0001-67,442667080115,AVENIDA PAPA JOAO XXIII,,2311,VILA NOEMIA,MAUA,09370-800,SP
TECMAR TRANSPORTES LTDA,TECMAR TRANSPORTES LTDA,01.610.798/0001-56,298073918112,RUA DA CONGREGACAO,,206,GRAMADO,EMBU DAS ARTES,06816-005,SP
TCM EXPRESS LTDA,TCM EXPRESS LTDA,01.834.475/0002-27,336449561110,AV LINDOMAR GOMES DE OLIVEIRA,,1143,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07223-270,SP
TC TRANSCARPAL TRANSPORTE RODOVIARIO DE CARGAS LTDA.,TRANSCARPAL OU TRANSCAJURU,09.194.437/0001-88,239025229117,AVENIDA GUINLE,,1688,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07221-070,SP
TC LOGISTICA E TRANSPORTE DE CARGAS LTDA,TC LOGISTICA E TRANSPORTE DE CARGAS LTDA,37.377.517/0002-95,127.481.171.113,ESTRADA PIMENTAS-SAO MIGUEL,,1495,VILA ALZIRA,GUARULHOS,07210-380,SP
TAQLOG - LOGISTICA E SERVICOS LTDA,TAQLOG - LOGISTICA E SERVICOS LTDA,11.240.890/0001-25,336.904.278.114,RUA SERRA DO MAR,,58,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07223-010,SP
TAQ - TRANSPORTES LTDA - ME,TAQ - TRANSPORTES LTDA - ME,10.321.424/0001-01,336857109118,RUA SANTANA DE IPANEMA,BOX 06,1273,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07220-010,SP
TAP EXPRESS EIRELI,TAP EXPRESS EIRELI,03.053.802/0009-05,438.470.709.119,AVENIDA MANOEL PEREIRA,,382,JARDIM MORUMBI,MARILIA,17526-000,SP
TAP EXPRESS EIRELI,TAP EXPRESS EIRELI,03.053.802/0011-20,181.463.930.110,AVENIDA ANDRE ONOFRE,,50,VILA GUAIANAZES,ARARAQUARA,14807-050,SP
TAMIRES CHRIS CAIN PEREIRA DE SOUZA LTDA (TW TRANSPORTES),TW TRANSPORTES ,54.852.935/0002-06,137.268.870.113,RUA TERCEIRO SARGENTO JOÃO LOPES FILHO,,219,PARQUE NOVO MUNDO,SAO PAULO,02178-010,SP
TAL - TRANSPORTE ALAGOANO LTDA,TAL - TRANSPORTE ALAGOANO LTDA,08.853.605/0002-18,336815187115,RUA SUME,,164,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-030,SP
TABAJARA LOGISTICA LTDA,TABAJARA LOGISTICA LTDA,11.508.889/0001-39,336.976.881.110,RUA ITAQUARA,,522,JD.PRESIDENTE DUTRA,GUARULHOS,07172-170,SP
T.R.S TRANSP DE CARGAS LTDA ,T.R.S TRANSP DE CARGAS ,08.345.638/0002-57,336.810.370.114,R: JAGUARIBARA,,74,NOVA CUMBICA,GUARULHOS,07231-350,SP
T.G.M TRANSPORTES  LTDA,T.G.M TRANSPORTES  LTDA,84.964.840/0012-17,ISENTO,AVENIDA MONTEIRO LOBATO,,4550,CIDADE JARDIM CUMBICA,GUARULHOS,07180-000,SP
T.A.T. LOGISTICA LTDA,T.A.T. LOGISTICA LTDA,11.045.641/0001-89,669.646.493.114,RUA APIAI,SALA 1,101,JARDIM LEOCADIA,SOROCABA,18085-350,SP
SUZARTE TRANSPORTES E LOGISTICA EIRELI,SUZARTE TRANSPORTES E LOGISTICA EIRELI,05.317.125/0001-63,129.405.348.111,R AMARU,LETRA A,100,PARQUE NOVO MUNDO,SAO PAULO,02181-020,SP
SUTIL TRANSPORTES DE CARGAS LTDA,.,10.809.335/0001-09,78740876,AV SANTA EFIGENIA 514,,.,VILA PARAISO,GUARULHOS,07242-100,SP
SUPRASONIC EMPREENDIMENTOS E COMERCIO ELETRONICA LTDA,SUPRASONIC EMPREENDIMENTOS E COMERCIO ELETRONICA LTDA ,54.822.416/0001-14,712.009.281.112,EST SP-332,,1300,MURSA,VARZEA PAULISTA,13226-400,SP
SUPPORT GLASS IMPORTAÇÃO EXPORTAÇÃO EIRELI,SUPPORT GLASS IMPORTAÇÃO EXPORTAÇÃO EIRELI,15.317.406/0001-70,ISENTO,RUA TREZE DE MAIO,,909,BELA VISTA,SAO PAULO,01327-000,SP
SUPERGASBRAS ENERGIA LTDA (CÓD. 3609925),SUPERGASBRAS ENERGIA LTDA,19.791.896/0019-21,513.002.465-118,RUA ERNESTO  IGEL,,440,BONFIM,PAULINIA,13140-000,SP
SUPERGASBRAS ENERGIA LTDA,SUPERGASBRAS ENERGIA LTDA,19.791.896/0131-80,209308296111,RUA ROMEU LABONE,,2-20,DISTRITO INDUSTRIAL III,BAURU,17064-860,SP
SUPER WING COMERCIAL IMPORTAÇÃO E EXPORTAÇÃO LTDA,SUPER WING COMERCIAL IMPORTAÇÃO E EXPORTAÇÃO LTDA,12.398.790/0001-94,147404873113,RUA. FRANÇA CARVALHO,,45,ALTO DA MOOCA,SÃO PAULO,03182-070,SP
SUD LOG TRANSPORTE DE CARGAS LTDA,SUD LOG TRANSPORTE DE CARGAS LTDA,12.542.685/0006-91,127626880117,RUA GIANCARLO VESTRI,,1258,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-060,SP
STM TRANSPORTES RODOVIARIOS LTDA.,COMAM TRANSPORTES,04.271.846/0003-89,152782680,RUA PROVIDENCIA,,70,COQUEIRO,ANANINDEUA,67015-260,PA
STEEL LOG. COMERCIO LOGITICA TRANP.,STEEL LOG. COMERCIO LOGITICA TRANP.,12.260.426/0003-25,535523254112,ROD. FAUSTO SANTOMAURO ,,S/N,JARDIM PRIMAVERA,PIRACICABA,13390-000,SP
STARCROM CROMEACAO LTDA,STARCROM CROMEACAO LTDA ,07.971.134/0001-07,149.260.451-115,RUA DOS CORRENTISTAS,,49,VILA BANCARIA,SAO PAULO,03918-090,SP
STANCANELLI TRANSPORTES E LOGISTICA LTDA,.,07.703.052/0001-73,336762358115,RUA MARINOPOLIS,EM FRENTE AO CAMPO DE FUTEBOL E AO LADO DO POSTO DE SAUDE ,610,JARDIM PRESIDENTE DUTRA,GUARULHOS,07172-100,SP
ST - SOLUCAO TRANSPORTES E LOGISTICA LTDA,SOLUCAO TRANSPORTES E LOGISTICA LTDA,13.327.196/0002-56,119.012.690.115,AV TENENTE AMARO FELICISSIMO DA SILVEIRA,PARTE A GALPÃO 10 DELA VOLPE ,S/N,PARQUE NOVO MUNDO,SAO PAULO,02177-010,SP
SSORI SP TRANSPORTES LTDA,SSORI SP TRANSPORTES LTDA,38.007.717/0001-38,129431696110,RUA CORONEL EMÍDIO PIEDADE,,658,BRAS,SAO PAULO,03018-010,SP
SR LOGISTICA E TRANSPORTES LTDA,SR LOGISTICA,06.013.646/0003-51,336728888115,AVENIDA PAPA JOAO PAULO I,,627 / 8,JARDIM DAS NACOES,GUARULHOS,07183-495,SP
SPOEX TRANSPORTES LTDA - SETEX BRASIL,SPOEX TRANSPORTES LTDA - SETEX BRASIL,43.268.330/0001-75,131842690113,RUA MIGUEL MENTEM,,300,VILA GUILHERME,SAO PAULO,02050-010,SP
SPMINAS LOGISTICA EXPRESS LTDA,SPMINAS LOGISTICA EXPRESS LTDA,29.306.746/0001-00,118.860.536.114,RUA PAULO EMILIO,QUADRA 6 BLOCO 5 DENTRO DO TERMINAL DE CARGAS ,111,JARDIM JULIETA,SAO PAULO,02162-040,SP
SPMARTINS TRANSPORTES LTDA,SPMARTINS TRANSPORTES LTDA,31.743.197/0001-82,126275461118,RUA JOAO VELOSO DE OLIVEIRA,LOTE  31C                 QUADRA4,239,PARQUE SAO DOMINGOS,SAO PAULO,05126-040,SP
SPF MARIO FRANCO DE OLIVEIRA EPP,SPF MARIO FRANCO DE OLIVEIRA EPP,04.390.557/0001-37,116116565110,RUA AMADIS,,692,VILA INDEPEDENCIA,SAO PAULO,04221-000,SP
SPEEDY CARGAS EXPRESSAS LTDA - EPP,SPEEDY CARGAS EXPRESSAS LTDA - EPP,26.877.864/0001-80,ISENTO,RUA MANUEL SILVINO BANDEIRA DE MELO,,187,VILA GUILHERME,SAO PAULO,02054-040,SP
SPEEDCOLOR MASTERBATCHES IND DE MATERIAIS PLASTICOS LTDA.,MASTER SPEEDCOLOR MATERBATCHES INDUSTRIA,05.801.185/0001-57,286249797117,AVENIDA DOM PEDRO I,VL CONCEICAO,919,CONCEICAO,DIADEMA,09991-000,SP
SPEED WORK TRANSPORTES LTDA  ,SPEED WORK TRANSPORTES LTDA,03.757.239/0002-80,149488504110,RUA SAO QUIRINO,,862,VILA GUILHERME,SAO PAULO,02056-070,SP
SPEED WORK TRANSPORTES EIRELI,SPEED WORK TRANSPORTES EIRELI,03.757.239/0001-07,77054545,"RUA FRANCISCO DE SOUSA E MELO, 1590 ",GALPAO 02 ARMAZENS 108 E 109,01590,CORDOVIL,RIO DE JANEIRO,21010-900,RJ
SPEED TRANSPORTES E LOGISTICA LTDA,SPEED TRANSPORTES ,18.226.648/0001-46,398053801115,RUA AMÂNCIO GAIOLLI ,GALPAO 2 MODULO 7,426,AGUA CHATA,GUARULHOS,06600-055,SP
SPEED TRANSPORTE MULTIMODAL DE CARGAS LIMITADA,SPEES MULTIMODAL,31.145.051/0003-05,127.089.305.115,AV AMANCIO GAIOLLI,GALPAO02 - MODULO 07,426,AGUA CHATA,GUARULHOS,07251-250,SP
SPC TRANSPORTE LTDA ,SPC TRANPORTES,08.766.044/0002-10,336814906112,RUA ALEXANIA,,245,CUMBICA,GUARULHOS,07232-010,SP
SOUZA E PEREIRA TRANSPORTES LTDA,TRANSOUZA TRANSPORTES,18.677.809/0001-18,257121587,R DEUZANI MARIA PEREIRA,,103,CORVETA,ARAQUARI,89245-000,SC
SOREX SAO PAULO TRANSPORTES LTDA,SOREX SAO PAULO TRANSPORTES,46.473.440/0001-67,136116533113,RUA TRES PEDRAS,SALA  06,567,VILA ALPINA,SAO PAULO,03209-010,SP
SOPRO DIVINO TRANSPORTES,SOPRO DIVINO TRANSPORTES,08.332.213/0006-37,149980269110,RUA JOAQUIM MENDES,,207,DO LIMAO,SAO PAULO,02518-100,SP
SOMOS TRANSPORTES E LOGISTICA LTDA,SOMOS TRANSPORTES E LOGISTICA LTDA,47.816.890/0002-59,127.755.217.111,R CARLOPOLIS,SALA  02A,181,CIDADE PARQUE SAO LUIZ,GUARULHOS,07170-540,SP
SOMMA TRANSPORTES LTDA - ME,SENDA TRANSPORTES E LOGISTICA,19.223.251/0001-63,ISENTO,RODOVIA BR 101,KM 10,S/N,URUBUQUARA ,GARUVA,89248-000,SC
SOMA LOGISTICA E TRANSPORTES LTDA,SOMA LOGISTICA,14.084.137/0002-67,796.013.062.116,RUA ARGIRITA,,251,CUMBICA,GUARULHOS,07231-020,SP
SOMA LOGISTICA E LOCACOES LTDA,SOMA LOGISTICA,05.476.099/0001-16,	186219335.00-38,AVENIDA APIO CARDOSO,SALA 08 E 09 PREDIO ADMINISTRATIV,1050,CINCAO,CONTAGEM,32371-615,MG
SOLUCAO TRANSPORTES PONTUAL LTDA - ME,SOLUCAO TRANSPORTES (CE),08.743.260/0001-69,336.804.469.116,RUA AGERITA,,277,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07310-020,SP
SOLUCAO ***** FECHOU NÃO USAR,SOLUCAO TRANSPORTES (GO),01.974.764/0002-21,336.474.539.116,AVENIDA MONTEIRO,,205,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-000,SP
SOLIMAX TECNOGIA E COMÉRCIO LTDA,SOLIMAX TECNOGIA E COMÉRCIO LTDA,09.153.242/0001-90,149886713112,MUNIZ DE SOUZA,,251,ACLIMAÇÃO,SÃO PAULO,01534-000,SP
SOLIDEZ TRANSPORTES LTDA,SOLIDEZ TRANSPORTES,00.833.219/0002-52,114509300110,RUA PAULO EMILIO,QUADRA 6 BOX 8 E 9 ,157,JARDIM JULIETA,SAO PAULO,02162-040,SP
SOLIDEZ TRANSPORTES LTDA,SOLIDEZ TRANSPORTES,00.833.219/0003-33,133084280,RUA PRIMEIRO DE ABRIL,LOTE  06                  QUADRA51,480,JARDIM BELO HORIZONTE,RONDONOPOLIS,78705-510,MT
SOLIDA TRANSPORTES LTDA ,SOLIDA TRANSPORTES LTDA,74.167.222/0002-10,796.011.983.115,RUA PIRACURA,,113,JARDIM FATIMA,GUARULHOS,07177-020,SP
SOLICITY EXPRESS TRANSP E SERVIÇOS LTDA EPP,SOLICITY  EXPRESS TRANSP E SERVIÇOS LTDA EPP,05.397.007/0003-74,796136606118,RUA TOSHIO UENISHI,,84,VILA NOVA BONSUCESSO,GUARULHOS,07175-540,SP
SOLAMAZON TRANSPORTES LTDA,SOLAMAZON TRANSPORTES,22.927.313/0001-22,336.752.422.118,RUA PEDRO DE TOLEDO ,,675,JD SAO GERALDO,GUARULHOS,07140-000,SP
SOL NORDESTE TRANSP. LOG E DISTR. LTDA,SOL NORDESTE TRANSP. LOG E DISTR. LTDA,08.759.512/0001-48,336.905.850.115,RUA EDUARDO FRONER,,401,PARQUE DAS NACOES,GUARULHOS,07243-590,SP
SOL NATAL TRANSP. REPRESENTACOES LTDA,SOL NATAL TRANSP. REPRESENTACOES LTDA,58.450.842/0001-25,111964771115,RUA TERCEIRO-SARGENTO JOAO SOARES DE FARIA,,70,PARQUE NOVO MUNDO,SAO PAULO,02179-020,SP
SOL DE MINAS TRANS E TUR LTDA ,SOL DE MINAS ,05.615.080/0002-94,147.294.517.113,RUA ITAJUBA ,,437,CUMBICA,GUARULHOS,07222-030,SP
SOARES ANDRE TRANSPORTADORA LTDA (NOVA ERA TRANSPORTES),SOARES ANDRE TRANSPORTADORA LTDA,49.883.996/0001-10,138.775.038.119,R SOLD ANESIO ANTAO FERREIRA,ARMZ  170,250,JARDIM JAPAO,SAO PAULO,02142-000,SP
SJB EXPRESS TRANSPORTES LTDA,SJB EXPRESS TRANSPORTES LTDA,07.906.565/0002-62,379.597.340.113,RUA MONTE APRAZÍVEL,, 315,JARDIM AMAZONAS,ITAQUAQUECETUBA,08595-030,SP
SIVAL E SILVA LOGISTICA E TRANSPORTE LTDA,SIVAL E SILVA LOGISTICA E TRANSPORTE LTDA,29.219.914/0002-00,127.206.000.110,RUA URUGUAIANA,SALA COMERCIAL GALPAOFUNDOS,197,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07223-230,SP
SIMBAX TRANSPORTS EIRELI,SIMBAX TRANSPORTS EIRELI,35.523.384/0002-92,ISENTO,RUA DOZE DE SETEMBRO,,1200,VILA GUILHERME,SAO PAULO,02052-001,SP
SILVANA SOARES DA SILVA,FEMA TRANSPORTES,24.424.924/0001-83,796.441.463.113,RUA INDIAPORA,,151,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-090,SP
SILAS PEREIRA - ME (SILLAS TRANSPORTES),SILAS TRANSPORTES ,02.765.172/0002-62,148107989119,RUA BENTOPOLIS,,03,PQ NOVO MUNDO,SAO PAULO,02181-080,SP
SIEMENS *********** BAIXADA,SIEMENS LTDA ,44.013.159/0080-10,407.266.506.117,RUA GERSON BENEDITO DE ASSIS,,281,DISTRITO INDUSTRIAL,JUNDIAI,13213-081,SP
SIDNEY COSTA PINA,SIDNEY COSTA PINA,15.034.760/0001-97,ISENTO,RUA AUSTRALIA,,102,VILA DO ENCONTRO,SAO PAULO,04323-230,SP
SICALL CARGAS E ENCOMENDAS LTDA - EPP,SICALL CARGAS E ENCOMENDAS,02.046.673/0001-08,116976810115,RUA PEDRO DE TOLEDO,,407,JARDIM SANTA LIDIA,GUARULHOS,07140-000,SP
SGOTI & REZENDE MUNDIAL MOTO PECAS LTDA,SGOTI & REZENDE MUNDIAL MOTO PECAS LTDA,07.193.776/0001-14,647.455.826.118,AV ALFREDO ANTONIO DE OLIVEIRA,,2705,JARDIM PLANALTO,SAO JOSE DO RIO PRETO,15046-619,SP
SETEX TRANSPORTES LTDA,SETEX TRANSPORTES,40.839.221/0001-72,130616092116,RUA MIGUEL MENTEM,CONJ 01,300,VILA GUILHERME,SAO PAULO,02050-010,SP
SETEX DO BRASIL LTDA (USAR 17167),SETEX DO BRASIL LTDA,30.855.243/0001-72,119.657.691.119,RUA PROFESSOR LUIZ CARLOS DORIA TEIXEIRA DE CAMARGO,,616,JARDIM REGINA,ARARAQUARA,14808-116,SP
SETEX DO BRASIL LTDA,SETEX DO BRASIL LTDA,05.258.929/0001-39,116443868115,RUA JAPARATUBA,,485,VILA CONDE DO PINHAL,SAO PAULO,04254-000,SP
SETE LAGOAS TRANSPORTES LTDA,SETE LAGOAS TRANSPORTES LTDA,03.098.929/0001-93,6720246740010,"AV. PREF. ALBERTO MOURA,",,2180,VALE DAS PALMEIRAS,SETE LAGOAS,35700-791,MG
SETE LAGOAS TRANSPORTES LTDA,SETE LAGOAS TRANSPORTES LTDA,03.098.929/0006-06,9081247665,RUA VEREADOR ANGELO BURBELLO,,00,UMBARA,CURITIBA,81940-320,PR
SETE LAGOAS TRANSPORTES,SETE LAGOAS TRANSPORTES,03.098.929/0005-17,796114170113,RUA PEDRO DE TOLEDO,,407,JARDIM SANTA LIDIA,GUARULHOS,07140-000,SP
SERRANA TRANSPORTES LTDA,SERRANA TRANSPORTES LTDA,11.389.565/0002-00,336.712.699-117,VIELA URGA,,485,VILA NOVA BONSUCESSO,GUARULHOS,07175-332,SP
SERAFIM TRANSPORTE DE CARGAS LTDA ,SERAFIM TRANSPORTE DE CARGAS LTDA ,23.926.683/0002-99,796471869119,RUA NOVA VENEZA,,172,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07221-000,SP
SENE EMPRESA DE TRANSPORTE DE CARGAS E ENCOMENDAS LTDA -,SENE EMPRESA DE TRANSPORTE DE CARGAS E ENCOMENDAS LTDA -,00.472.038/0002-48,114.385.017.110,RODOVIA ANHANGUERA,KM 24.2,330,JARDIM JARAGUA,SAO PAULO,05112-000,SP
SENDER OIL INDUSTRIA E COMERCIO LTDA - EPP,SENDER OIL INDUSTRIA E COMERCIO LTDA - EPP,64.645.096/0001-28,637088254118,RUA ERNESTINO BLOCK,,255,JARDIM HIKARE,SAO CARLOS,13564-570,SP
SEM FURO ***** USAR 10051,SEM FURO ***** NÃO EXISTE MAIS ,36.761.633/0002-40,113223973119,RUA VENANCIO MARTINS,,100,FREGUESIA DO O,SAO PAULO,02755-050,SP
SEDEX VALOR DECLARADO - LETTER SERVICOS POSTAIS LTDA ME,SEDEX VALOR DECLARADO - LETTER SERVICOS POSTAIS LTDA ME,15.304.616/0001-23,145663686113,"RUA CORIOLANO,",,1936,VILA ROMANA ,SAO PAULO,05047-970,SP
SEDEX (POWER POST SERVICOS LTDA),SEDEX (POWER POST SERVICOS LTDA),10.919.787/0001-43,145559842114,ALAMEDA GLETE,,1045,CAMPOS ELISEOS,SAO PAULO,01215-000,SP
SEDEX (NOVA POSSTAL LTDA EPP),SEDEX (NOVA POSSTAL LTDA EPP),07.281.886/0001-38,ISENTO,RUA ALAMEDA GLETE ,,1045,CAMPOS ELÍSEOS,SÃO PAULO,01259-970,SP
SEDEX - SANTOS DUMONT POSTAGENS LTDA EPP,SEDEX - SANTOS DUMONT POSTAGENS LTDA EPP,73.716.011/0001-46,ISENTO,RUA FLORIANOPOLIS,SALA  47,100,ITAUM,JOINVILLE,89210-085,SC
SEDEX - CORREIO,SEDEX - CORREIO,02.423.985/0001-93,145804369118,RUA SERRA DO JAPI,,1308,VILA GOMES CARDIM,SAO PAULO,03309-970,SP
SEDEX,SEDEX,69.097.228/0001-48,ISENTO,ESTRADA DO CAMPO LIMPO,,459,VILA PREL,SAO PAULO,05777-001,SP
SEDEX,SEDEX,58.127.002/0001-26,ISENTO,SEM SEM ENDERECO N.,,S/N,DIADEMA,DIADEMA,00000-000,SP
